model,attack,base_class,target_class,epochs,lr,poison_num,epsilon,poison_num.1,watermark_opacity,step_size,iterations,n_runs,n_success,asr,clean_acc_mean,poisoned_acc_mean
model_cifar10_lr0.001_30epochs,fc,9,1,20,0.1,30,0.05,30,0.2,0.01,2000,5,0,0.0,0.7641,0.68674
model_cifar10_lr0.001_30epochs,fc,9,1,20,0.1,30,0.05,30,0.2,0.01,4000,5,0,0.0,0.7641,0.6840599999999999
model_cifar10_lr0.001_30epochs,fc,9,1,20,0.1,60,0.01,60,0.0,0.01,2000,5,0,0.0,0.7641,0.68504
model_cifar10_lr0.001_30epochs,fc,9,1,20,0.1,60,0.01,60,0.0,0.01,4000,5,0,0.0,0.7641,0.68544
model_cifar10_lr0.001_30epochs,fc,9,1,20,0.1,60,0.01,60,0.2,0.01,2000,5,0,0.0,0.7641,0.6930799999999999
model_cifar10_lr0.001_30epochs,fc,9,1,20,0.1,60,0.01,60,0.2,0.01,4000,5,0,0.0,0.7641,0.68604
model_cifar10_lr0.001_30epochs,fc,9,1,20,0.1,60,0.03,60,0.0,0.01,4000,5,0,0.0,0.7641,0.6814199999999999
model_cifar10_lr0.001_30epochs,fc,9,1,20,0.1,60,0.03,60,0.2,0.01,2000,5,0,0.0,0.7641,0.6907399999999999
model_cifar10_lr0.001_30epochs,fc,9,1,20,0.1,60,0.03,60,0.2,0.01,4000,5,0,0.0,0.7641,0.6874399999999999
model_cifar10_lr0.001_30epochs,fc,9,1,20,0.1,60,0.05,60,0.0,0.01,2000,5,0,0.0,0.7641,0.68468
model_cifar10_lr0.001_30epochs,fc,9,1,20,0.1,60,0.05,60,0.0,0.01,4000,5,0,0.0,0.7641,0.6621400000000001
model_cifar10_lr0.001_30epochs,fc,9,1,20,0.1,60,0.05,60,0.2,0.01,2000,5,0,0.0,0.7641,0.67188
model_cifar10_lr0.001_30epochs,fc,9,1,20,0.1,60,0.05,60,0.2,0.01,4000,5,0,0.0,0.7641,0.6963
model_mnist_lr0.0075,fc,8,3,20,0.1,60,0.01,60,0.0,0.01,2000,5,1,0.2,0.9266,0.9162399999999999
model_mnist_lr0.0075,fc,8,3,20,0.1,60,0.05,60,0.2,0.01,4000,5,1,0.2,0.9266,0.90554
